Order_ID,Item,Amount,Customer_ID
155,Mousepad,250,247
156,Harddisk,5000,71
157,Webcam,350,101
158,Mousepad,200,8
159,DDR RAM,1500,172
160,Headset,900,246
161,Keyboard,400,89
162,Mouse,300,134
163,Monitor,12000,166
164,Keyboard,400,85
165,Mousepad,250,221
166,Harddisk,5000,12
167,Webcam,350,143
168,Mousepad,200,193
169,DDR RAM,1500,236
170,Headset,900,214
171,Keyboard,400,55
172,Mouse,300,122
173,Monitor,12000,13
174,Keyboard,400,181
175,Mousepad,250,203
176,Harddisk,5000,159
177,Webcam,350,63
178,Mousepad,200,94
179,DDR RAM,1500,67
180,Headset,900,86
181,Keyboard,400,23
182,Mouse,300,97
183,Monitor,12000,55
184,Keyboard,400,146
185,Mousepad,250,66
186,Harddisk,5000,166
187,Webcam,350,117
188,Mousepad,200,249
189,DDR RAM,1500,195
190,Headset,900,197
191,Keyboard,400,70
192,Mouse,300,218
193,Monitor,12000,92
194,Keyboard,400,235
195,Mousepad,250,24
196,Harddisk,5000,196
197,Webcam,350,166
198,Mousepad,200,57
199,DDR RAM,1500,229
200,Headset,900,178
201,Keyboard,400,109
202,Mouse,300,98
203,Monitor,12000,207
204,Keyboard,400,28
205,Mousepad,250,208
206,Harddisk,5000,57
207,Webcam,350,235
208,Mousepad,200,29
209,DDR RAM,1500,40
210,Headset,900,106
211,Keyboard,400,239
212,Mouse,300,103
213,Monitor,12000,118
214,Keyboard,400,92
215,Mousepad,250,176
216,Harddisk,5000,85
217,Webcam,350,78
218,Mousepad,200,151
219,DDR RAM,1500,97
220,Headset,900,223
221,Keyboard,400,198
222,Mouse,300,238
223,Monitor,12000,96
224,Keyboard,400,221
225,Mousepad,250,113
226,Harddisk,5000,65
227,Webcam,350,134
228,Mousepad,200,153
229,DDR RAM,1500,57
230,Headset,900,111
231,Keyboard,400,162
232,Mouse,300,190
233,Monitor,12000,206
234,Keyboard,400,13
235,Mousepad,250,37
236,Harddisk,5000,102
237,Webcam,350,157
238,Mousepad,200,200
239,DDR RAM,1500,223
240,Headset,900,101
241,Keyboard,400,224
242,Mouse,300,63
243,Monitor,12000,123
244,Keyboard,400,215
245,Mousepad,250,50
246,Harddisk,5000,186
247,Webcam,350,135
248,Mousepad,200,110
249,DDR RAM,1500,176
250,Headset,900,223
